Params [lbd-U: 0.1000|lbd-V: 0.1000|lbd-N: 0.1000|lbd-Q: 0.1000|lbd-scale: 1.0000]
Epoch 34/500 - recon_error: 6.500420 norms: 0.000040/0.000017/0.009618
Epoch 35/500 - recon_error: 6.499792 norms: 0.000039/0.000018/0.010117
Epoch 36/500 - recon_error: 6.499145 norms: 0.000039/0.000018/0.010627
Epoch 37/500 - recon_error: 6.498477 norms: 0.000039/0.000019/0.011147
Epoch 38/500 - recon_error: 6.497787 norms: 0.000039/0.000020/0.011677
Epoch 39/500 - recon_error: 6.497075 norms: 0.000038/0.000020/0.012218
Epoch 40/500 - recon_error: 6.496340 norms: 0.000038/0.000021/0.012769
Epoch 41/500 - recon_error: 6.495581 norms: 0.000038/0.000021/0.013330
Epoch 42/500 - recon_error: 6.494796 norms: 0.000038/0.000022/0.013900
Epoch 43/500 - recon_error: 6.493985 norms: 0.000037/0.000023/0.014481
Epoch 44/500 - recon_error: 6.493148 norms: 0.000037/0.000023/0.015071
Epoch 45/500 - recon_error: 6.492281 norms: 0.000037/0.000024/0.015670
Epoch 46/500 - recon_error: 6.491386 norms: 0.000037/0.000025/0.016279
Epoch 47/500 - recon_error: 6.490461 norms: 0.000037/0.000025/0.016898
Epoch 48/500 - recon_error: 6.489504 norms: 0.000036/0.000026/0.017525
Epoch 49/500 - recon_error: 6.488515 norms: 0.000036/0.000027/0.018162
Epoch 50/500 - recon_error: 6.487493 norms: 0.000036/0.000027/0.018808
Epoch 51/500 - recon_error: 6.486436 norms: 0.000036/0.000028/0.019462
Epoch 52/500 - recon_error: 6.485343 norms: 0.000036/0.000029/0.020126
Epoch 53/500 - recon_error: 6.484214 norms: 0.000035/0.000029/0.020798
Epoch 54/500 - recon_error: 6.483047 norms: 0.000035/0.000030/0.021479
Epoch 55/500 - recon_error: 6.481841 norms: 0.000035/0.000031/0.022168
Epoch 56/500 - recon_error: 6.480595 norms: 0.000035/0.000031/0.022866
Epoch 57/500 - recon_error: 6.479308 norms: 0.000035/0.000032/0.023572
Epoch 58/500 - recon_error: 6.477978 norms: 0.000034/0.000033/0.024286
Epoch 59/500 - recon_error: 6.476606 norms: 0.000034/0.000033/0.025008
Epoch 60/500 - recon_error: 6.475189 norms: 0.000034/0.000034/0.025739
Epoch 61/500 - recon_error: 6.473727 norms: 0.000034/0.000035/0.026477
Epoch 62/500 - recon_error: 6.472219 norms: 0.000034/0.000035/0.027224
Epoch 63/500 - recon_error: 6.470663 norms: 0.000033/0.000036/0.027978
Epoch 64/500 - recon_error: 6.469060 norms: 0.000033/0.000037/0.028740
Epoch 65/500 - recon_error: 6.467408 norms: 0.000033/0.000038/0.029509
Epoch 66/500 - recon_error: 6.465706 norms: 0.000033/0.000038/0.030286
Epoch 67/500 - recon_error: 6.463954 norms: 0.000033/0.000039/0.031071
Epoch 68/500 - recon_error: 6.462151 norms: 0.000032/0.000040/0.031863
Epoch 69/500 - recon_error: 6.460296 norms: 0.000032/0.000040/0.032662
Epoch 70/500 - recon_error: 6.458390 norms: 0.000032/0.000041/0.033469
Epoch 71/500 - recon_error: 6.456432 norms: 0.000032/0.000042/0.034282
Epoch 72/500 - recon_error: 6.454422 norms: 0.000032/0.000043/0.035103
Epoch 73/500 - recon_error: 6.452359 norms: 0.000032/0.000043/0.035931
Epoch 74/500 - recon_error: 6.450244 norms: 0.000031/0.000044/0.036766
Epoch 75/500 - recon_error: 6.448076 norms: 0.000031/0.000045/0.037607
Epoch 76/500 - recon_error: 6.445856 norms: 0.000031/0.000046/0.038456
Epoch 77/500 - recon_error: 6.443585 norms: 0.000031/0.000046/0.039311
Epoch 78/500 - recon_error: 6.441263 norms: 0.000031/0.000047/0.040173
Epoch 79/500 - recon_error: 6.438890 norms: 0.000031/0.000048/0.041041
Epoch 80/500 - recon_error: 6.436467 norms: 0.000030/0.000049/0.041916
Epoch 81/500 - recon_error: 6.433996 norms: 0.000030/0.000049/0.042798
Epoch 82/500 - recon_error: 6.431477 norms: 0.000030/0.000050/0.043686
Epoch 83/500 - recon_error: 6.428912 norms: 0.000030/0.000051/0.044580
Epoch 84/500 - recon_error: 6.426302 norms: 0.000030/0.000052/0.045481
Epoch 85/500 - recon_error: 6.423648 norms: 0.000030/0.000052/0.046387
Epoch 86/500 - recon_error: 6.420952 norms: 0.000029/0.000053/0.047300
Epoch 87/500 - recon_error: 6.418216 norms: 0.000029/0.000054/0.048219
Epoch 88/500 - recon_error: 6.415441 norms: 0.000029/0.000055/0.049145
Epoch 89/500 - recon_error: 6.412629 norms: 0.000029/0.000055/0.050076
Epoch 90/500 - recon_error: 6.409782 norms: 0.000029/0.000056/0.051013
Epoch 91/500 - recon_error: 6.406903 norms: 0.000029/0.000057/0.051955
Epoch 92/500 - recon_error: 6.403993 norms: 0.000028/0.000058/0.052904
Epoch 93/500 - recon_error: 6.401054 norms: 0.000028/0.000058/0.053858
Epoch 94/500 - recon_error: 6.398089 norms: 0.000028/0.000059/0.054819
Epoch 95/500 - recon_error: 6.395100 norms: 0.000028/0.000060/0.055784
Epoch 96/500 - recon_error: 6.392088 norms: 0.000028/0.000061/0.056756
Epoch 97/500 - recon_error: 6.389055 norms: 0.000028/0.000062/0.057732
Epoch 98/500 - recon_error: 6.386005 norms: 0.000028/0.000062/0.058715
Epoch 99/500 - recon_error: 6.382938 norms: 0.000027/0.000063/0.059703
Epoch 100/500 - recon_error: 6.379858 norms: 0.000027/0.000064/0.060696
Epoch 101/500 - recon_error: 6.376764 norms: 0.000027/0.000065/0.061694
Epoch 102/500 - recon_error: 6.373660 norms: 0.000027/0.000066/0.062698
Epoch 103/500 - recon_error: 6.370547 norms: 0.000027/0.000066/0.063707
Epoch 104/500 - recon_error: 6.367426 norms: 0.000027/0.000067/0.064721
Epoch 105/500 - recon_error: 6.364300 norms: 0.000027/0.000068/0.065740
Epoch 106/500 - recon_error: 6.361168 norms: 0.000026/0.000069/0.066765
Epoch 107/500 - recon_error: 6.358033 norms: 0.000026/0.000070/0.067794
Epoch 108/500 - recon_error: 6.354896 norms: 0.000026/0.000070/0.068828
Epoch 109/500 - recon_error: 6.351757 norms: 0.000026/0.000071/0.069868
Epoch 110/500 - recon_error: 6.348618 norms: 0.000026/0.000072/0.070912
Epoch 111/500 - recon_error: 6.345478 norms: 0.000026/0.000073/0.071961
Epoch 112/500 - recon_error: 6.342340 norms: 0.000026/0.000074/0.073015
Epoch 113/500 - recon_error: 6.339203 norms: 0.000026/0.000074/0.074073
Epoch 114/500 - recon_error: 6.336067 norms: 0.000025/0.000075/0.075137
Epoch 115/500 - recon_error: 6.332934 norms: 0.000025/0.000076/0.076205
Epoch 116/500 - recon_error: 6.329803 norms: 0.000025/0.000077/0.077277
Epoch 117/500 - recon_error: 6.326675 norms: 0.000025/0.000078/0.078355
Epoch 118/500 - recon_error: 6.323549 norms: 0.000025/0.000078/0.079436
Epoch 119/500 - recon_error: 6.320426 norms: 0.000025/0.000079/0.080523
Epoch 120/500 - recon_error: 6.317305 norms: 0.000025/0.000080/0.081614
Epoch 121/500 - recon_error: 6.314187 norms: 0.000025/0.000081/0.082709
Epoch 122/500 - recon_error: 6.311072 norms: 0.000024/0.000082/0.083808
Epoch 123/500 - recon_error: 6.307959 norms: 0.000024/0.000083/0.084912
Epoch 124/500 - recon_error: 6.304849 norms: 0.000024/0.000083/0.086021
Epoch 125/500 - recon_error: 6.301741 norms: 0.000024/0.000084/0.087133
Epoch 126/500 - recon_error: 6.298635 norms: 0.000024/0.000085/0.088250
Epoch 127/500 - recon_error: 6.295531 norms: 0.000024/0.000086/0.089371
Epoch 128/500 - recon_error: 6.292429 norms: 0.000024/0.000087/0.090496
Epoch 129/500 - recon_error: 6.289329 norms: 0.000024/0.000088/0.091625
Epoch 130/500 - recon_error: 6.286230 norms: 0.000023/0.000088/0.092759
Epoch 131/500 - recon_error: 6.283133 norms: 0.000023/0.000089/0.093896
Epoch 132/500 - recon_error: 6.280037 norms: 0.000023/0.000090/0.095037
Epoch 133/500 - recon_error: 6.276943 norms: 0.000023/0.000091/0.096183
Epoch 134/500 - recon_error: 6.273850 norms: 0.000023/0.000092/0.097332
Epoch 135/500 - recon_error: 6.270758 norms: 0.000023/0.000093/0.098485
Epoch 136/500 - recon_error: 6.267668 norms: 0.000023/0.000093/0.099642
Epoch 137/500 - recon_error: 6.264580 norms: 0.000023/0.000094/0.100803
Epoch 138/500 - recon_error: 6.261493 norms: 0.000023/0.000095/0.101968
Epoch 139/500 - recon_error: 6.258408 norms: 0.000023/0.000096/0.103137
Epoch 140/500 - recon_error: 6.255324 norms: 0.000022/0.000097/0.104309
Epoch 141/500 - recon_error: 6.252242 norms: 0.000022/0.000098/0.105485
Epoch 142/500 - recon_error: 6.249162 norms: 0.000022/0.000098/0.106665
Epoch 143/500 - recon_error: 6.246085 norms: 0.000022/0.000099/0.107848
Epoch 144/500 - recon_error: 6.243009 norms: 0.000022/0.000100/0.109035
Epoch 145/500 - recon_error: 6.239936 norms: 0.000022/0.000101/0.110225
Epoch 146/500 - recon_error: 6.236866 norms: 0.000022/0.000102/0.111419
Epoch 147/500 - recon_error: 6.233799 norms: 0.000022/0.000103/0.112617
Epoch 148/500 - recon_error: 6.230734 norms: 0.000022/0.000104/0.113818
Epoch 149/500 - recon_error: 6.227673 norms: 0.000022/0.000104/0.115023
Epoch 150/500 - recon_error: 6.224616 norms: 0.000021/0.000105/0.116231
Epoch 151/500 - recon_error: 6.221562 norms: 0.000021/0.000106/0.117442
Epoch 152/500 - recon_error: 6.218511 norms: 0.000021/0.000107/0.118657
Epoch 153/500 - recon_error: 6.215465 norms: 0.000021/0.000108/0.119875
Epoch 154/500 - recon_error: 6.212424 norms: 0.000021/0.000109/0.121097
Epoch 155/500 - recon_error: 6.209386 norms: 0.000021/0.000110/0.122321
Epoch 156/500 - recon_error: 6.206353 norms: 0.000021/0.000110/0.123549
Epoch 157/500 - recon_error: 6.203325 norms: 0.000021/0.000111/0.124781
Epoch 158/500 - recon_error: 6.200302 norms: 0.000021/0.000112/0.126015
Epoch 159/500 - recon_error: 6.197284 norms: 0.000021/0.000113/0.127253
Epoch 160/500 - recon_error: 6.194271 norms: 0.000021/0.000114/0.128493
Epoch 161/500 - recon_error: 6.191264 norms: 0.000021/0.000115/0.129737
Epoch 162/500 - recon_error: 6.188262 norms: 0.000020/0.000116/0.130984
Epoch 163/500 - recon_error: 6.185265 norms: 0.000020/0.000116/0.132234
Epoch 164/500 - recon_error: 6.182274 norms: 0.000020/0.000117/0.133488
Epoch 165/500 - recon_error: 6.179289 norms: 0.000020/0.000118/0.134744
Epoch 166/500 - recon_error: 6.176309 norms: 0.000020/0.000119/0.136003
Epoch 167/500 - recon_error: 6.173335 norms: 0.000020/0.000120/0.137265
Epoch 168/500 - recon_error: 6.170367 norms: 0.000020/0.000121/0.138530
Epoch 169/500 - recon_error: 6.167405 norms: 0.000020/0.000122/0.139798
Epoch 170/500 - recon_error: 6.164448 norms: 0.000020/0.000123/0.141069
Epoch 171/500 - recon_error: 6.161498 norms: 0.000020/0.000123/0.142343
Epoch 172/500 - recon_error: 6.158553 norms: 0.000020/0.000124/0.143620
Epoch 173/500 - recon_error: 6.155614 norms: 0.000020/0.000125/0.144899
Epoch 174/500 - recon_error: 6.152681 norms: 0.000020/0.000126/0.146182
Epoch 175/500 - recon_error: 6.149753 norms: 0.000019/0.000127/0.147467
Epoch 176/500 - recon_error: 6.146832 norms: 0.000019/0.000128/0.148755
Epoch 177/500 - recon_error: 6.143916 norms: 0.000019/0.000129/0.150045
Epoch 178/500 - recon_error: 6.141005 norms: 0.000019/0.000130/0.151339
Epoch 179/500 - recon_error: 6.138100 norms: 0.000019/0.000130/0.152635
Epoch 180/500 - recon_error: 6.135201 norms: 0.000019/0.000131/0.153934
Epoch 181/500 - recon_error: 6.132307 norms: 0.000019/0.000132/0.155235
Epoch 182/500 - recon_error: 6.129418 norms: 0.000019/0.000133/0.156539
Epoch 183/500 - recon_error: 6.126534 norms: 0.000019/0.000134/0.157846
Epoch 184/500 - recon_error: 6.123656 norms: 0.000019/0.000135/0.159155
Epoch 185/500 - recon_error: 6.120783 norms: 0.000019/0.000136/0.160467
Epoch 186/500 - recon_error: 6.117914 norms: 0.000019/0.000137/0.161781
Epoch 187/500 - recon_error: 6.115051 norms: 0.000019/0.000137/0.163098
Epoch 188/500 - recon_error: 6.112193 norms: 0.000019/0.000138/0.164417
Epoch 189/500 - recon_error: 6.109339 norms: 0.000018/0.000139/0.165739
Epoch 190/500 - recon_error: 6.106490 norms: 0.000018/0.000140/0.167063
Epoch 191/500 - recon_error: 6.103646 norms: 0.000018/0.000141/0.168390
Epoch 192/500 - recon_error: 6.100806 norms: 0.000018/0.000142/0.169719
Epoch 193/500 - recon_error: 6.097970 norms: 0.000018/0.000143/0.171051
Epoch 194/500 - recon_error: 6.095139 norms: 0.000018/0.000144/0.172385
Epoch 195/500 - recon_error: 6.092313 norms: 0.000018/0.000145/0.173721
Epoch 196/500 - recon_error: 6.089490 norms: 0.000018/0.000145/0.175060
Epoch 197/500 - recon_error: 6.086672 norms: 0.000018/0.000146/0.176401
Epoch 198/500 - recon_error: 6.083858 norms: 0.000018/0.000147/0.177744
Epoch 199/500 - recon_error: 6.081048 norms: 0.000018/0.000148/0.179090
Epoch 200/500 - recon_error: 6.078242 norms: 0.000018/0.000149/0.180438
Epoch 201/500 - recon_error: 6.075440 norms: 0.000018/0.000150/0.181788
Epoch 202/500 - recon_error: 6.072642 norms: 0.000018/0.000151/0.183140
Epoch 203/500 - recon_error: 6.069848 norms: 0.000018/0.000152/0.184495
Epoch 204/500 - recon_error: 6.067058 norms: 0.000018/0.000153/0.185851
Epoch 205/500 - recon_error: 6.064271 norms: 0.000018/0.000154/0.187210
Epoch 206/500 - recon_error: 6.061488 norms: 0.000018/0.000154/0.188572
Epoch 207/500 - recon_error: 6.058709 norms: 0.000017/0.000155/0.189935
Epoch 208/500 - recon_error: 6.055934 norms: 0.000017/0.000156/0.191300
Epoch 209/500 - recon_error: 6.053162 norms: 0.000017/0.000157/0.192668
Epoch 210/500 - recon_error: 6.050394 norms: 0.000017/0.000158/0.194038
Epoch 211/500 - recon_error: 6.047630 norms: 0.000017/0.000159/0.195409
Epoch 212/500 - recon_error: 6.044869 norms: 0.000017/0.000160/0.196783
Epoch 213/500 - recon_error: 6.042111 norms: 0.000017/0.000161/0.198159
Epoch 214/500 - recon_error: 6.039357 norms: 0.000017/0.000162/0.199537
Epoch 215/500 - recon_error: 6.036607 norms: 0.000017/0.000163/0.200917
Epoch 216/500 - recon_error: 6.033860 norms: 0.000017/0.000163/0.202299
Epoch 217/500 - recon_error: 6.031117 norms: 0.000017/0.000164/0.203682
Epoch 218/500 - recon_error: 6.028377 norms: 0.000017/0.000165/0.205068
Epoch 219/500 - recon_error: 6.025641 norms: 0.000017/0.000166/0.206456
Epoch 220/500 - recon_error: 6.022908 norms: 0.000017/0.000167/0.207846
Epoch 221/500 - recon_error: 6.020179 norms: 0.000017/0.000168/0.209237
Epoch 222/500 - recon_error: 6.017453 norms: 0.000017/0.000169/0.210631
Epoch 223/500 - recon_error: 6.014730 norms: 0.000017/0.000170/0.212026
Epoch 224/500 - recon_error: 6.012011 norms: 0.000017/0.000171/0.213424
Epoch 225/500 - recon_error: 6.009296 norms: 0.000017/0.000172/0.214823
Epoch 226/500 - recon_error: 6.006584 norms: 0.000017/0.000172/0.216224
Epoch 227/500 - recon_error: 6.003875 norms: 0.000017/0.000173/0.217627
Epoch 228/500 - recon_error: 6.001170 norms: 0.000017/0.000174/0.219031
Epoch 229/500 - recon_error: 5.998468 norms: 0.000017/0.000175/0.220438
Epoch 230/500 - recon_error: 5.995769 norms: 0.000016/0.000176/0.221846
Epoch 231/500 - recon_error: 5.993074 norms: 0.000016/0.000177/0.223256
Epoch 232/500 - recon_error: 5.990383 norms: 0.000016/0.000178/0.224668
Epoch 233/500 - recon_error: 5.987695 norms: 0.000016/0.000179/0.226081
Epoch 234/500 - recon_error: 5.985010 norms: 0.000016/0.000180/0.227497
Epoch 235/500 - recon_error: 5.982328 norms: 0.000016/0.000181/0.228914
Epoch 236/500 - recon_error: 5.979650 norms: 0.000016/0.000182/0.230332
Epoch 237/500 - recon_error: 5.976976 norms: 0.000016/0.000183/0.231753
Epoch 238/500 - recon_error: 5.974304 norms: 0.000016/0.000183/0.233175
Epoch 239/500 - recon_error: 5.971636 norms: 0.000016/0.000184/0.234599
Epoch 240/500 - recon_error: 5.968972 norms: 0.000016/0.000185/0.236024
Epoch 241/500 - recon_error: 5.966311 norms: 0.000016/0.000186/0.237451
Epoch 242/500 - recon_error: 5.963653 norms: 0.000016/0.000187/0.238880
Epoch 243/500 - recon_error: 5.960998 norms: 0.000016/0.000188/0.240310
Epoch 244/500 - recon_error: 5.958347 norms: 0.000016/0.000189/0.241742
Epoch 245/500 - recon_error: 5.955699 norms: 0.000016/0.000190/0.243175
Epoch 246/500 - recon_error: 5.953055 norms: 0.000016/0.000191/0.244610
Epoch 247/500 - recon_error: 5.950414 norms: 0.000016/0.000192/0.246047
Epoch 248/500 - recon_error: 5.947776 norms: 0.000016/0.000193/0.247485
Epoch 249/500 - recon_error: 5.945141 norms: 0.000016/0.000194/0.248924
Epoch 250/500 - recon_error: 5.942510 norms: 0.000016/0.000194/0.250366
Epoch 251/500 - recon_error: 5.939882 norms: 0.000016/0.000195/0.251808
Epoch 252/500 - recon_error: 5.937257 norms: 0.000016/0.000196/0.253252
Epoch 253/500 - recon_error: 5.934636 norms: 0.000016/0.000197/0.254698
Epoch 254/500 - recon_error: 5.932017 norms: 0.000016/0.000198/0.256145
Epoch 255/500 - recon_error: 5.929402 norms: 0.000016/0.000199/0.257594
Epoch 256/500 - recon_error: 5.926790 norms: 0.000016/0.000200/0.259044
Epoch 257/500 - recon_error: 5.924182 norms: 0.000016/0.000201/0.260495
Epoch 258/500 - recon_error: 5.921576 norms: 0.000016/0.000202/0.261948
Epoch 259/500 - recon_error: 5.918974 norms: 0.000016/0.000203/0.263403
Epoch 260/500 - recon_error: 5.916375 norms: 0.000016/0.000204/0.264858
Epoch 261/500 - recon_error: 5.913779 norms: 0.000016/0.000205/0.266316
Epoch 262/500 - recon_error: 5.911186 norms: 0.000016/0.000205/0.267774
Epoch 263/500 - recon_error: 5.908596 norms: 0.000016/0.000206/0.269234
Epoch 264/500 - recon_error: 5.906009 norms: 0.000016/0.000207/0.270695
Epoch 265/500 - recon_error: 5.903426 norms: 0.000016/0.000208/0.272158
Epoch 266/500 - recon_error: 5.900845 norms: 0.000016/0.000209/0.273622
Epoch 267/500 - recon_error: 5.898268 norms: 0.000016/0.000210/0.275087
Epoch 268/500 - recon_error: 5.895693 norms: 0.000015/0.000211/0.276554
Epoch 269/500 - recon_error: 5.893122 norms: 0.000015/0.000212/0.278022
Epoch 270/500 - recon_error: 5.890554 norms: 0.000015/0.000213/0.279491
Epoch 271/500 - recon_error: 5.887988 norms: 0.000015/0.000214/0.280962
Epoch 272/500 - recon_error: 5.885426 norms: 0.000015/0.000215/0.282433
Epoch 273/500 - recon_error: 5.882867 norms: 0.000015/0.000216/0.283906
Epoch 274/500 - recon_error: 5.880310 norms: 0.000015/0.000217/0.285381
Epoch 275/500 - recon_error: 5.877757 norms: 0.000015/0.000218/0.286856
Epoch 276/500 - recon_error: 5.875207 norms: 0.000015/0.000218/0.288333
Epoch 277/500 - recon_error: 5.872659 norms: 0.000015/0.000219/0.289811
Epoch 278/500 - recon_error: 5.870115 norms: 0.000015/0.000220/0.291290
Epoch 279/500 - recon_error: 5.867573 norms: 0.000015/0.000221/0.292771
Epoch 280/500 - recon_error: 5.865035 norms: 0.000015/0.000222/0.294252
Epoch 281/500 - recon_error: 5.862499 norms: 0.000015/0.000223/0.295735
Epoch 282/500 - recon_error: 5.859967 norms: 0.000015/0.000224/0.297219
Epoch 283/500 - recon_error: 5.857437 norms: 0.000015/0.000225/0.298705
Epoch 284/500 - recon_error: 5.854910 norms: 0.000015/0.000226/0.300191
Epoch 285/500 - recon_error: 5.852386 norms: 0.000015/0.000227/0.301678
Epoch 286/500 - recon_error: 5.849865 norms: 0.000015/0.000228/0.303167
Epoch 287/500 - recon_error: 5.847347 norms: 0.000015/0.000229/0.304657
Epoch 288/500 - recon_error: 5.844832 norms: 0.000015/0.000230/0.306148
Epoch 289/500 - recon_error: 5.842319 norms: 0.000015/0.000231/0.307640
Epoch 290/500 - recon_error: 5.839810 norms: 0.000015/0.000231/0.309133
Epoch 291/500 - recon_error: 5.837303 norms: 0.000015/0.000232/0.310627
Epoch 292/500 - recon_error: 5.834800 norms: 0.000015/0.000233/0.312122
Epoch 293/500 - recon_error: 5.832299 norms: 0.000015/0.000234/0.313619
Epoch 294/500 - recon_error: 5.829801 norms: 0.000015/0.000235/0.315116
Epoch 295/500 - recon_error: 5.827307 norms: 0.000015/0.000236/0.316615
Epoch 296/500 - recon_error: 5.824815 norms: 0.000015/0.000237/0.318114
Epoch 297/500 - recon_error: 5.822326 norms: 0.000015/0.000238/0.319615
Epoch 298/500 - recon_error: 5.819839 norms: 0.000015/0.000239/0.321116
Epoch 299/500 - recon_error: 5.817356 norms: 0.000015/0.000240/0.322619
Epoch 300/500 - recon_error: 5.814876 norms: 0.000015/0.000241/0.324123
Epoch 301/500 - recon_error: 5.812399 norms: 0.000015/0.000242/0.325627
Epoch 302/500 - recon_error: 5.809924 norms: 0.000015/0.000243/0.327133
Epoch 303/500 - recon_error: 5.807453 norms: 0.000015/0.000244/0.328640
Epoch 304/500 - recon_error: 5.804984 norms: 0.000015/0.000245/0.330147
Epoch 305/500 - recon_error: 5.802519 norms: 0.000015/0.000246/0.331656
Epoch 306/500 - recon_error: 5.800057 norms: 0.000015/0.000246/0.333165
Epoch 307/500 - recon_error: 5.797597 norms: 0.000015/0.000247/0.334676
Epoch 308/500 - recon_error: 5.795141 norms: 0.000015/0.000248/0.336187
Epoch 309/500 - recon_error: 5.792687 norms: 0.000015/0.000249/0.337700
Epoch 310/500 - recon_error: 5.790237 norms: 0.000015/0.000250/0.339213
Epoch 311/500 - recon_error: 5.787789 norms: 0.000015/0.000251/0.340728
Epoch 312/500 - recon_error: 5.785345 norms: 0.000015/0.000252/0.342243
Epoch 313/500 - recon_error: 5.782904 norms: 0.000015/0.000253/0.343759
Epoch 314/500 - recon_error: 5.780466 norms: 0.000015/0.000254/0.345276
Epoch 315/500 - recon_error: 5.778031 norms: 0.000015/0.000255/0.346794
Epoch 316/500 - recon_error: 5.775599 norms: 0.000015/0.000256/0.348313
Epoch 317/500 - recon_error: 5.773170 norms: 0.000015/0.000257/0.349833
Epoch 318/500 - recon_error: 5.770745 norms: 0.000015/0.000258/0.351353
Epoch 319/500 - recon_error: 5.768322 norms: 0.000015/0.000259/0.352875
Epoch 320/500 - recon_error: 5.765903 norms: 0.000015/0.000260/0.354397
Epoch 321/500 - recon_error: 5.763487 norms: 0.000015/0.000261/0.355920
Epoch 322/500 - recon_error: 5.761074 norms: 0.000015/0.000261/0.357444
Epoch 323/500 - recon_error: 5.758665 norms: 0.000015/0.000262/0.358969
Epoch 324/500 - recon_error: 5.756259 norms: 0.000015/0.000263/0.360495
Epoch 325/500 - recon_error: 5.753856 norms: 0.000015/0.000264/0.362021
Epoch 326/500 - recon_error: 5.751456 norms: 0.000015/0.000265/0.363548
Epoch 327/500 - recon_error: 5.749060 norms: 0.000015/0.000266/0.365077
Epoch 328/500 - recon_error: 5.746667 norms: 0.000015/0.000267/0.366606
Epoch 329/500 - recon_error: 5.744277 norms: 0.000015/0.000268/0.368135
Epoch 330/500 - recon_error: 5.741891 norms: 0.000015/0.000269/0.369666
Epoch 331/500 - recon_error: 5.739508 norms: 0.000015/0.000270/0.371197
Epoch 332/500 - recon_error: 5.737129 norms: 0.000015/0.000271/0.372729
Epoch 333/500 - recon_error: 5.734753 norms: 0.000015/0.000272/0.374262
Epoch 334/500 - recon_error: 5.732380 norms: 0.000015/0.000273/0.375796
Epoch 335/500 - recon_error: 5.730012 norms: 0.000015/0.000274/0.377330
Epoch 336/500 - recon_error: 5.727646 norms: 0.000015/0.000275/0.378865
Epoch 337/500 - recon_error: 5.725284 norms: 0.000015/0.000276/0.380401
Epoch 338/500 - recon_error: 5.722926 norms: 0.000015/0.000277/0.381938
Epoch 339/500 - recon_error: 5.720571 norms: 0.000015/0.000277/0.383475
Epoch 340/500 - recon_error: 5.718220 norms: 0.000015/0.000278/0.385013
Epoch 341/500 - recon_error: 5.715873 norms: 0.000015/0.000279/0.386552
Epoch 342/500 - recon_error: 5.713529 norms: 0.000015/0.000280/0.388091
Epoch 343/500 - recon_error: 5.711189 norms: 0.000015/0.000281/0.389632
Epoch 344/500 - recon_error: 5.708853 norms: 0.000015/0.000282/0.391172
